2012-13 Progress Report Results for High Schools																			
DBN	School Name	School Type	Overall Score	Overall Grade	Percentile Rank	Progress Grade	Performance Grade	Environment Grade	College and Career Readiness Grade	Closing the Achievement Gap Points	Principal	Enrollment	Average English Proficiency	Average Math Proficiency	% Students with Disabilities	% Self-Contained	% Overage	% Black or Hispanic	% ELL
22K535	Leon M. Goldstein High School for the Sciences	High School	76.2	A	81	A	A	B	A	1.0	Scott Hughes	1018	3.34	3.83	11.4%	1.2%	0.4%	20.8%	1.1%
22K555	Brooklyn College Academy	High School	74.8	A	78	A	B	A	A	1.8	Nicholas Mazzarella	573	3.18	3.50	3.8%	0.2%	0.7%	85.3%	0.2%
23K493	Brooklyn Collegiate: A College Board School	High School	45.1	D	9	D	C	C	B	2.8	Amote Sias	365	2.61	2.65	21.1%	11.8%	8.8%	96.2%	2.5%
23K514	Frederick Douglass Academy VII High School	High School	52.0	C	20	C	C	C	C	4.4	Jessica Endlich	319	2.61	2.69	25.1%	13.5%	8.8%	98.1%	1.3%
23K644	Eagle Academy for Young Men II	High School									Rashad Meade	171	2.61	2.76	25.1%	13.5%	3.5%	98.8%	3.5%
23K697	Teachers Preparatory High School	High School	55.1	C	27	C	B	C	B	3.5	Carmen Simon	402	2.69	2.80	18.9%	11.2%	8.5%	97.8%	2.7%
24Q264	Academy of Finance and  Enterprise	High School	90.6	A	97	A	A	A	A	9.0	Victoria Armano	436	2.89	3.34	12.6%	2.3%	3.9%	66.7%	6.7%
24Q267	High School of Applied Communication	High School	70.4	A	68	B	B	B	B	5.9	Daniel Korb	428	2.69	2.93	18.9%	4.0%	6.3%	70.1%	11.2%
24Q293	Civic Leadership Academy	High School	82.0	A	90	A	A	B	B	7.4	Phuong Nguyen	447	2.66	2.93	23.5%	5.1%	4.0%	86.6%	7.8%
24Q296	Pan American International High School	High School	34.7	F	3	D	F	C	D	3.9	Minerva Zanca	359	1.99	2.43	2.8%	1.1%	14.8%	99.4%	91.6%
24Q299	Bard High School Early College Queens	High School	75.0	A	79	A	B	A	A	0.1	Valeri Thomson	591	3.56	4.07	0.5%	0.0%	0.7%	31.5%	0.2%
24Q455	Newtown High School	High School	62.3	B	49	C	C	A	B	8.5	John Ficalora	2229	2.61	2.82	13.5%	6.1%	16.6%	69.0%	31.6%
24Q485	Grover Cleveland High School	High School	44.2	D	8	C	D	C	C	4.3	Denise Vittor	1936	2.65	2.88	16.0%	8.0%	9.3%	68.3%	22.4%
24Q520	Middle College High School at LaGuardia Community College	High School	63.1	B	50	C	B	A	B	6.1	Linda Siegmund	497	2.68	2.94	15.7%	2.0%	4.8%	82.3%	0.6%
24Q530	International High School at LaGuardia Community College	High School	85.5	A	95	A	B	A	A	8.8	John Starkey	496	2.11	2.91	1.0%	0.2%	15.3%	47.0%	72.8%
24Q550	High School for Arts and Business	High School	78.5	A	86	A	A	A	B	5.6	Ana R. Zambrano-Burakov	857	2.69	2.98	15.5%	3.3%	4.0%	88.2%	13.2%
24Q560	"Robert F. Wagner, Jr. Secondary School for Arts and Technology"	High School	61.9	B	47	B	C	B	B	4.9	Ann Seifullah	501	2.92	3.24	15.8%	2.0%	2.4%	70.3%	5.6%
24Q585	Maspeth High School	High School									Khurshid Abdul-Mutakabbir	484	2.98	3.38	11.4%	2.7%	2.1%	49.2%	3.5%
24Q600	Queens Vocational and Technical High School	High School	60.3	B	41	C	B	B	B	6.1	Melissa Burg	1469	2.83	3.23	16.7%	5.8%	2.9%	79.6%	4.6%
24Q610	Aviation Career & Technical Education High School	High School	78.7	A	86	A	A	A	B	3.9	Deno Charalambous	2224	2.97	3.50	8.4%	3.6%	1.3%	59.6%	2.7%
25Q252	"Queens School of Inquiry, The"	High School	60.3	B	41	B	B	C	A	1.4	Meredith Inbal	311	3.14	3.53	12.2%	0.3%	1.0%	41.5%	1.3%
25Q263	Flushing International High School	High School	70.8	A	70	B	B	A	B	8.3	Lara Evangelista	421	2.04	3.03	1.0%	0.5%	21.6%	32.3%	88.6%
25Q281	East-West School of International Studies	High School	70.5	A	69	B	A	C	A	3.8	Ben Sherman	385	2.90	3.38	14.5%	1.8%	4.2%	35.6%	17.1%
25Q285	World Journalism Preparatory: A College Board School	High School	75.4	A	79	A	B	C	A	2.9	Cynthia Schneider	363	3.06	3.20	23.4%	1.1%	1.4%	32.5%	0.3%
25Q425	John Bowne High School	High School	63.9	B	54	B	B	C	B	6.1	Howard Kwait	3634	2.73	3.02	14.0%	6.5%	9.9%	61.4%	25.7%
25Q460	Flushing High School	High School	39.0	F	5	D	D	D	C	4.9	Magdalen Radovich	2977	2.66	2.87	15.6%	6.6%	10.0%	76.2%	19.1%
25Q525	Townsend Harris High School	High School	88.5	A	97	A	A	A	A	0.0	Anthony D. Barbetta	1116	3.78	4.20	0.4%	0.0%	0.0%	19.8%	0.0%
25Q670	Robert F. Kennedy Community High School	High School	72.5	A	74	B	B	A	A	4.6	Beshir Abdellatif	691	2.76	3.10	23.3%	4.5%	4.3%	46.2%	12.2%
26Q415	Benjamin N. Cardozo High School	High School	63.7	B	52	B	B	C	A	3.5	Gerald Martori	3778	3.07	3.45	14.7%	5.8%	2.8%	38.4%	6.3%
26Q430	Francis Lewis High School	High School	77.7	A	84	A	A	A	A	4.4	Musa Ali Shama	4129	3.03	3.51	14.9%	9.1%	4.1%	32.5%	14.1%
26Q435	Martin Van Buren High School	High School	41.6	D	6	C	D	D	C	3.6	Sam Sochet	2239	2.65	2.72	14.5%	7.1%	12.7%	70.6%	11.9%
26Q495	Bayside High School	High School	75.8	A	80	A	A	C	A	3.6	Michael Athy	3297	3.04	3.43	14.4%	5.1%	2.7%	37.0%	5.8%
26Q566	"Queens High School of Teaching, Liberal Arts and the Sciences"	High School	60.4	B	41	C	B	C	B	3.7	Jae Hyun Cho	1227	2.91	3.15	18.9%	5.1%	2.2%	65.0%	2.7%
27Q260	Frederick Douglass Academy VI High School	High School	31.2	F	2	D	D	F	C	1.4	Linda Alfred	451	2.64	2.70	17.1%	8.2%	10.9%	96.2%	4.2%
27Q262	Channel View School for Research	High School									Patricia J. Tubridy	436	2.91	3.07	15.1%	4.4%	4.6%	80.0%	1.1%
27Q302	"Queens High School for Information, Research, and Technology"	High School	65.8	B	59	B	B	B	C	6.5	Magaly Hicks	313	2.57	2.61	21.1%	12.1%	16.6%	93.3%	12.5%
27Q308	Robert H. Goddard High School of Communication Arts and Technology	High School	76.1	A	81	A	A	A	C	4.2	Joseph Birgeles	593	2.89	3.14	16.2%	10.8%	1.3%	50.8%	4.0%
27Q309	Academy of Medical Technology: A College Board School	High School	53.4	C	24	C	C	C	A	4.5	Jose Merced	379	2.68	2.78	15.6%	6.6%	7.7%	87.9%	8.4%
27Q323	Scholars' Academy	High School	85.0	A	94	A	A	A	A	0.0	Brian O'connell	453	3.52	3.92	0.4%	0.0%	0.2%	38.2%	0.0%
27Q324	ROCKAWAY PARK HIGH SCHOOL FOR ENVIRONMENTAL SUSTAINABILITY	High School									Jennifer Connolly	291	2.62	2.68	20.6%	11.0%	15.5%	76.6%	6.9%
27Q351	Rockaway Collegiate High School	High School									Robert Young Jr	231	2.66	2.71	24.2%	12.6%	10.0%	88.7%	6.5%
27Q400	August Martin High School	High School	28.8	F	1	F	D	D	C	2.6	"Smith, Gillian"	1012	2.54	2.54	23.1%	13.2%	18.5%	90.8%	4.9%
27Q410	Beach Channel High School	High School									David Morris	397	2.55	2.48	23.2%	12.1%	10.3%	90.4%	14.1%
27Q475	Richmond Hill High School	High School	40.4	D	5	D	D	D	C	3.7	Wayne Anderson	2336	2.62	2.79	17.9%	8.0%	9.4%	63.3%	17.2%
27Q480	John Adams High School	High School	46.3	D	10	C	C	C	C	4.3	Daniel Scanlon	3253	2.61	2.73	16.0%	7.6%	15.2%	64.6%	17.6%
27Q650	"High School for Construction Trades, Engineering and Architecture"	High School	73.8	A	76	A	A	C	B	0.8	Lakeisha Gordon	928	3.07	3.51	9.8%	0.9%	1.8%	51.4%	0.5%
28Q157	J.H.S. 157 Stephen A. Halsey	High School									Vincent Suraci	73	2.47	2.77	37.0%	19.2%	20.5%	43.8%	43.8%
28Q167	METROPOLITAN EXPEDITIONARY LEARNING SCHOOL	High School									Damon Mccord	128	3.01	3.31	18.0%	0.8%	0.8%	54.7%	1.6%
28Q284	York Early College Academy	High School	76.4	A	82	A	A	A	A	0.2	Deborah Burnett	310	3.12	3.33	7.1%	0.3%	2.3%	81.3%	0.0%
28Q310	Queens Collegiate: A College Board School	High School	65.6	B	57	B	C	C	B	5.1	Jaime Anne Dubei	401	2.77	2.94	12.7%	3.7%	5.5%	68.6%	10.5%
28Q325	HILLSIDE ARTS & LETTERS ACADEMY	High School									Matthew C. Ritter	331	2.72	2.89	13.0%	4.5%	9.4%	64.0%	11.5%
28Q328	HIGH SCHOOL FOR COMMUNITY LEADERSHIP	High School									Carlos Borrero	271	2.57	2.82	15.1%	5.9%	13.3%	73.8%	24.7%
28Q350	Jamaica Gateway to the Sciences	High School	71.0	A	71	B	A	B	A	1.1	Caren Birchwood Taylo	309	2.87	3.25	11.3%	3.9%	4.2%	54.7%	8.1%
28Q440	Forest Hills High School	High School	70.2	A	68	B	B	C	B	4.5	Saul Gootnick	3834	3.03	3.37	14.4%	6.4%	3.3%	39.5%	8.8%
28Q470	Jamaica High School	High School									Enric Kendall	265	2.53	2.46	15.5%	9.1%	20.0%	62.3%	29.1%
28Q505	Hillcrest High School	High School	66.2	B	60	B	C	A	B	6.0	Stephen Duch	3109	2.75	2.95	11.1%	4.9%	8.3%	57.1%	15.7%
28Q620	Thomas A. Edison Career and Technical Education High School	High School	70.8	A	70	B	A	B	B	3.9	Moses Ojeda	2225	3.01	3.45	13.6%	6.9%	2.8%	43.9%	1.3%
28Q680	Queens Gateway to Health Sciences Secondary School	High School	78.5	A	86	A	A	C	A	0.1	Judy Henry	510	3.35	3.59	2.5%	0.6%	0.4%	65.1%	0.0%
28Q686	QUEENS METROPOLITAN HIGH SCHOOL	High School									Gregory Dutton	937	2.86	3.10	18.2%	5.2%	1.8%	48.5%	4.3%
28Q687	Queens High School for the Sciences at York College	High School	86.4	A	96	A	A	A	A	0.0	David Marmor	400	3.57	4.16	2.0%	0.3%	0.5%	18.0%	0.0%
28Q690	High School for Law Enforcement and Public Safety	High School	54.9	C	26	C	B	B	C	4.3	Diahann E. Malcolm	555	2.75	2.91	19.8%	12.1%	5.4%	87.2%	2.0%
28Q896	"Young Women's Leadership School, Queens"	High School	59.1	B	37	B	B	D	A	1.8	Avionne Gumbs	280	2.93	3.06	13.6%	2.5%	2.1%	76.8%	2.5%
29Q248	Queens Preparatory Academy	High School	61.0	B	45	B	B	C	C	4.1	Tashon Haywood	453	2.63	2.77	15.2%	6.2%	11.3%	90.3%	5.1%
29Q259	Pathways College Preparatory School: A College Board School	High School	57.8	C	31	C	C	B	B	4.5	Kimberly Mitchell	326	2.71	2.75	15.3%	6.7%	5.2%	93.6%	2.1%
29Q265	Excelsior Preparatory High School	High School	80.4	A	88	A	B	A	C	5.3	Lilly Narine Lucas	458	2.67	2.70	17.0%	5.2%	7.9%	92.8%	4.1%
29Q272	George Washington Carver High School for the Sciences	High School	55.9	C	28	C	B	B	D	2.5	Dr. Janice M. Sutton	485	2.81	2.96	10.7%	3.3%	5.6%	86.4%	1.9%
29Q283	Preparatory Academy for Writers: A College Board School	High School	80.8	A	89	A	B	A	B	3.1	Charles Anderson	294	2.82	2.79	18.7%	7.1%	9.2%	90.8%	3.1%
29Q326	CAMBRIA HEIGHTS ACADEMY	High School									Melissa Menake	247	2.69	2.77	18.6%	5.3%	6.5%	91.9%	2.4%
29Q492	"Mathematics, Science Research and Technology Magnet High School"	High School	55.8	C	28	B	B	D	A	3.3	Jose Cruz	442	2.71	2.96	13.1%	8.8%	11.5%	89.4%	5.4%
29Q494	"Law, Government and Community Service High School"	High School									Donna Delfyett White	401	2.60	2.64	20.0%	12.7%	15.5%	94.3%	3.0%
29Q496	"Business, Computer Applications & Entrepreneurship  High School"	High School									Lynne Callender	326	2.45	2.46	26.1%	13.8%	23.0%	91.4%	9.2%
29Q498	Humanities & Arts Magnet High School	High School	60.3	B	41	C	B	B	B	7.0	Rosemarie Omard	510	2.65	2.73	20.0%	6.7%	7.6%	92.4%	4.3%
30Q286	"Young Women's Leadership School, Astoria"	High School	74.5	A	78	A	A	A	C	2.0	Laura A Mitchell	313	3.06	3.37	8.3%	0.6%	2.2%	42.2%	5.4%
30Q301	Academy for Careers in Television and Film	High School	100.9	A	100	A	A	A	A	9.4	Edgar Rodriguez	437	2.88	2.98	19.9%	3.9%	2.3%	74.1%	3.2%
30Q445	William Cullen Bryant High School	High School	60.5	B	42	B	C	C	B	4.6	Namita Dwarka	2766	2.75	3.06	14.5%	8.9%	9.1%	55.7%	17.7%
30Q450	Long Island City High School	High School	46.3	D	10	C	C	C	C	3.9	Vivian Selenikas	3029	2.70	2.97	17.0%	8.6%	8.7%	73.5%	14.7%
30Q501	Frank Sinatra School of the Arts High School	High School	65.1	B	57	B	B	D	A	1.0	Donna Finn	786	3.37	3.65	3.9%	0.0%	0.6%	43.9%	0.0%
30Q502	Information Technology High School	High School	57.2	C	30	C	C	B	B	4.1	Joseph Reed	920	2.74	3.06	18.7%	6.1%	4.7%	74.5%	10.4%
30Q555	Newcomers High School	High School	75.9	A	80	B	A	C	A	8.8	Orlando Sarmiento	935	1.97	2.83	0.1%	0.1%	37.3%	49.8%	91.8%
30Q575	Academy of American Studies	High School	75.0	A	79	A	A	B	A	4.4	William Bassell	752	3.03	3.44	10.9%	2.1%	2.1%	44.0%	4.0%
30Q580	Baccalaureate School for Global Education	High School	74.9	A	79	A	B	B	A	0.0	Kelly Joan Johnson	270	3.52	3.90	0.4%	0.0%	0.0%	30.0%	0.0%
31R047	CSI High School for International Studies	High School	81.9	A	90	A	A	A	A	2.8	Joseph Canale	517	3.00	3.24	18.0%	4.6%	1.2%	30.4%	0.2%
31R064	Gaynor McCown Expeditionary Learning School	High School	66.9	B	63	B	B	B	C	4.5	Traci Frey	438	2.85	3.03	29.2%	7.1%	2.3%	30.4%	0.9%
31R080	The Michael J. Petrides School	High School	71.4	A	72	B	A	A	A	4.3	Joanne Buckheit	476	2.93	3.10	22.7%	9.0%	1.1%	38.2%	1.7%
31R440	New Dorp High School	High School	63.0	B	50	B	B	B	B	5.6	Ms. Deirdre Deangelis	2683	2.75	2.89	22.9%	8.8%	4.5%	38.8%	5.4%
31R445	Port Richmond High School	High School	52.5	C	22	C	C	B	B	4.4	Timothy M. Gannon	1950	2.66	2.71	25.4%	11.8%	7.0%	69.2%	5.7%
31R450	Curtis High School	High School	63.7	B	53	C	B	B	A	5.5	Aurelia Curtis	2441	2.73	2.82	19.7%	10.7%	6.6%	70.9%	6.3%
31R455	Tottenville High School	High School	65.1	B	57	B	B	B	B	2.4	John P. Tuminaro	3849	2.98	3.31	18.0%	5.8%	1.2%	12.7%	1.4%
31R460	Susan E. Wagner High School	High School	73.9	A	76	A	B	B	A	4.9	Mr. Gary M. Giordano	3402	2.91	3.14	21.9%	12.3%	3.8%	35.8%	3.1%
31R600	Ralph R. McKee Career and Technical Education High School	High School	62.3	B	49	B	C	C	B	7.3	Sharon Alicia Henry	647	2.62	2.67	30.9%	11.7%	7.0%	74.0%	4.0%
31R605	Staten Island Technical High School	High School	91.2	A	98	A	A	A	A	0.0	Vincent Maniscalco	1185	3.64	4.14	1.7%	0.0%	0.1%	6.2%	0.0%
32K168	The Brooklyn School for Math and Research	High School									Perry Rainey	129	2.64	2.99	21.7%	10.1%	10.1%	92.2%	10.9%
32K403	Academy for Environmental Leadership	High School	74.2	A	77	A	A	B	C	7.0	Nilda Gomez-Katz	344	2.42	2.55	21.2%	11.0%	15.1%	97.1%	38.7%
32K545	EBC High School for Public ServiceuBushwick	High School	60.2	B	40	B	C	A	C	5.5	Shawn Brown	521	2.53	2.73	16.1%	8.1%	5.8%	98.3%	17.9%
32K549	Bushwick School for Social Justice	High School	58.6	B	35	B	C	B	F	6.6	Lucas Cooke	427	2.48	2.57	19.7%	8.4%	12.6%	97.4%	19.7%
32K552	Academy of Urban Planning	High School	49.8	C	14	C	B	C	C	5.1	Kyleema Norman	388	2.39	2.46	25.3%	19.1%	20.4%	97.4%	28.6%
32K554	All City Leadership Secondary School	High School	77.4	A	83	B	A	A	A	4.1	Elvis Estevez	142	2.96	3.17	13.4%	4.2%	2.1%	99.3%	3.5%
32K556	Bushwick Leaders High School for Academic Excellence	High School	45.7	D	9	D	C	C	D	5.3	Catherine Reilly	419	2.49	2.62	20.8%	10.3%	7.4%	98.3%	16.7%
84K359	The Uft Charter School	High School	58.1	B	33	C	A	C	A	2.4	Michelle Bodden-White	248	2.65	2.71	9.7%	3.2%	4.8%	97.2%	0.8%
84K473	Williamsburg Charter High School	High School	72.6	A	74	A	B	B	C	4.1	Marsha Spampinato	926	2.68	2.86	16.0%	5.0%	11.0%	97.6%	4.5%
84K693	Believe Northside Charter High School	High School	78.4	A	85	A	A	A	D	4.8	Reshma Baig	373	2.70	2.86	17.4%	5.4%	10.5%	91.2%	5.6%
84K707	Brooklyn Prospect Charter School	High School									Lanolia Omowanile/Kim Raccio	117	2.96	3.13	22.2%	2.6%	0.9%	74.4%	4.3%
84K730	Summit Academy Charter School	High School									Natasha Campbell	50	2.76	3.47	16.0%	0.0%	6.0%	94.0%	2.0%
84K888	Achievement First HS	High School	64.1	B	54	A	C	A	B	0.1	Paul Adler	294	2.89	3.60	9.5%	0.0%	5.1%	99.0%	0.3%
84K979	Uncommon Charter HS 2	High School									Jesse Corburn	51	3.04	3.83	5.9%	0.0%	3.9%	98.0%	0.0%
84K999	Uncommon Charter HS	High School	62.2	B	49	B	C	A	A	0.4	Maya Roth	245	3.12	3.93	10.2%	2.9%	6.1%	98.8%	0.0%
84M279	The Opportunity Charter School	High School									Marya Baker	235	2.32	2.40	55.7%	24.3%	15.7%	97.0%	6.8%
84M284	Harlem Children's Zone Promise Academy 1 Charter School	High School	79.8	A	88	A	A	B	A	4.0	Tonya White/Shakira Petit	131	2.76	3.12	16.0%	1.5%	3.8%	98.5%	1.5%
84M350	Democracy Prep Charter School	High School	70.8	A	70	B	C	A	A	3.6	Lisa Friscia/Tanya Nunez	343	2.90	3.37	12.5%	0.6%	13.1%	98.0%	1.2%
84M353	New Heights Academy Charter School	High School	72.7	A	75	A	B	B	C	6.8	Robert Parkes/Stacy Winitt	369	2.58	2.97	15.4%	1.4%	6.0%	99.7%	11.9%
84M433	Renaissance Charter High School for Innovation	High School									Nicholas Tishuk	334	2.48	2.56	34.7%	18.3%	9.6%	97.3%	7.2%
84M522	Broome Street Academy Charter School	High School									Jeremy Kaplan	201	2.55	2.55	32.8%	21.9%	27.9%	96.5%	4.0%
84M888	Harlem Village Academy HS	High School	59.9	B	39	B	C	C	C	0.1	Laurie Warner	268	3.11	3.72	10.8%	0.0%	4.5%	98.5%	0.4%
84M999	KIPP NYC College Prep	High School	78.4	A	85	A	B	A	A	0.8	Natalie Webb	706	2.99	3.43	15.9%	1.3%	5.8%	99.0%	3.1%
84Q705	Renaissance Charter School	High School	70.5	A	69	B	B	B	A	2.7	Stacey Gauthier	212	2.91	3.17	17.5%	2.4%	2.8%	70.3%	1.9%
84R067	John W. Lavelle Preparatory Charter School	High School									Evelyn Finn	23	2.82	2.74	43.5%	13.0%	4.3%	82.6%	0.0%
84X185	Bronx Lighthouse Charter School	High School									Meghan Kimpton (K-4)/Richard Burke (5-8)	88	2.77	3.04	15.9%	0.0%	6.8%	100.0%	3.4%
84X202	New Visions Charter High School for Advanced Math and Science II	High School									Stacey King	128	2.69	3.02	21.1%	7.8%	4.7%	96.9%	14.1%
84X208	New Visions Charter High School for the Humanities II	High School									Richard Gonz?lez	126	2.49	2.64	30.2%	11.9%	11.1%	92.9%	17.5%
84X345	Hyde Leadership Charter School	High School	68.2	B	66	B	A	B	B	4.2	Elizabeth Olney	269	2.75	2.91	17.1%	0.0%	5.2%	98.5%	4.1%
84X347	International Leadership Charter High School	High School	93.6	A	99	A	A	A	A	9.2	Elaine Ruiz Lopez	291	2.72	3.01	11.3%	1.7%	4.8%	94.5%	10.0%
84X393	Green Dot New York Charter School	High School	100.1	A	99	A	A	A	A	8.1	Ashish Kapadia	363	2.73	3.03	13.8%	1.4%	5.8%	95.3%	10.7%
84X395	"NYC Charter High School for Architecture, Engineering and Construction Industries"	High School	62.7	B	50	B	C	B	D	3.0	Eugene Foley	418	2.60	2.82	13.2%	2.9%	12.2%	100.0%	15.3%
84X539	New Visions Charter High School for Advanced Math and Science	High School									Julia Chun	235	2.71	3.05	16.6%	8.9%	6.4%	93.2%	7.7%
84X553	New Visions Charter High School for the Humanities	High School									Seth Ari Lewis Levin	239	2.62	2.74	23.8%	9.6%	7.1%	93.7%	13.4%
84X703	Bronx Preparatory Charter School	High School	54.2	C	25	C	B	B	B	1.0	Jacqueline King-Robinson/Edwina Branch-S	320	2.85	3.20	10.6%	0.3%	1.9%	98.1%	1.9%
