2011-12 Progress Report Results for High Schools																				
DBN	School Name	School Type	Overall Score	Overall Grade	Percentile Rank	Progress Grade	Performance Grade	Environment Grade	College and Career Readiness Grade	Closing the Achievement Gap Points	Principal	Enrollment	% Students with Disabilites	% Students in Self-contained Settings	% Overage	% Free Lunch	% Black or Hispanic	% ELL	8th Gr Math/ELA	Peer Index
19K660	W. H. Maxwell Career and Technical Education High School	High School	65.7	B	52	B	B	C	D	5.2	Jocelyn Badette	590	29.3%	21.5%	15.8%	60.2%	97.3%	5.9%	2.38	1.21
19K683	"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS"	High School	81.5	A	92	A	A	A	D	3.7	Janice Ross	311	19.9%	13.8%	11.6%	84.2%	89.1%	9.0%	2.56	1.77
20K445	New Utrecht High School	High School	68.7	B	62	B	B	D	A	7.5	Maureen Goldfarb	3276	18.0%	9.1%	10.4%	59.2%	33.5%	24.8%	2.78	2.14
20K485	High School of Telecommunication Arts and Technology	High School	78.9	A	87	B	A	A	A	4.8	Philip Weinberg	1280	22.4%	6.5%	2.4%	37.7%	63.5%	5.0%	2.96	2.36
20K490	Fort Hamilton High School	High School	60.4	B	39	C	C	B	A	3.8	Jo Ann Chester	4275	14.4%	7.7%	6.2%	58.8%	35.3%	22.1%	2.93	2.43
20K505	Franklin Delano Roosevelt High School	High School	65.4	B	50	B	C	B	B	8.3	Steven Demarco	3108	12.6%	7.5%	15.2%	73.4%	36.9%	39.7%	2.79	2.23
20K609	Urban Assembly School for Criminal Justice	High School	.	.	.	.	.	.	.	.	Mariela Graham	164	15.2%	4.3%	10.4%	82.6%	50.6%	13.4%	2.84	2.35
21K337	International High School at Lafayette	High School	63.9	B	46	B	F	A	D	7.5	Jon Harriman	343	0.6%	0.6%	19.5%	39.1%	35.3%	90.1%	2.47	2.26
21K344	Rachel Carson High School for Coastal Studies	High School	68.4	B	61	B	B	C	A	6.1	Edward Wilensky	481	18.7%	5.4%	5.6%	41.4%	49.9%	11.4%	2.77	2.23
21K348	High School of Sports Management	High School	52.3	C	17	F	B	C	C	4.9	Robin Pitts	370	17.8%	5.7%	8.4%	48.9%	91.4%	2.4%	2.63	2.07
21K410	Abraham Lincoln High School	High School	56.5	C	25	C	C	B	B	3.8	Ari Hoogenboom	2593	14.7%	7.2%	7.2%	56.3%	55.2%	16.8%	2.83	2.32
21K468	Kingsborough Early College School	High School	.	.	.	.	.	.	.	.	Connie Hamilton	237	13.9%	0.0%	1.7%	36.4%	50.2%	0.8%	3.12	2.82
21K525	Edward R. Murrow High School	High School	65.8	B	52	C	B	B	A	3.2	Anthony R. Lodico	4022	15.9%	7.9%	2.9%	42.4%	41.7%	9.6%	3.09	2.59
21K540	John Dewey High School	High School	63.7	B	45	B	C	C	B	6.0	Barry Fried	2168	11.1%	5.5%	6.9%	66.7%	49.7%	20.8%	2.85	2.45
21K559	Life Academy High School for Film and Music	High School	62.5	B	42	C	A	B	F	5.5	Lisa Ferraiola	251	22.3%	7.6%	10.0%	43.4%	74.5%	4.8%	2.61	1.91
21K572	Expeditionary Learning School for Community Leaders	High School	63.6	B	45	B	F	A	D	4.0	David Ohara	226	17.3%	7.1%	8.0%	44.7%	60.6%	21.7%	2.71	2.14
21K620	William E. Grady Career and Technical Education High School	High School	65.6	B	51	C	B	A	B	6.5	Geraldine Maione	955	27.9%	14.1%	10.1%	75.3%	89.7%	3.4%	2.56	1.62
21K690	Brooklyn Studio Secondary School	High School	59.8	B	36	B	C	F	B	3.2	Andrea Ciliotta	639	20.0%	4.2%	3.4%	54.2%	32.7%	7.2%	2.90	2.38
22K405	Midwood High School	High School	58.7	B	32	C	B	B	A	1.9	David Cohen	3842	7.0%	2.7%	1.4%	43.1%	47.0%	3.7%	3.30	3.09
22K425	James Madison High School	High School	64.6	B	48	C	C	A	A	5.0	Joseph A. Gogliormella	3076	14.9%	6.6%	3.7%	62.9%	32.5%	13.5%	2.96	2.49
22K495	Sheepshead Bay High School	High School	40.5	D	3	F	F	F	C	3.9	John Omahoney	1928	15.4%	9.0%	15.1%	57.2%	77.9%	22.0%	2.59	1.95
22K535	Leon M. Goldstein High School for the Sciences	High School	78.5	A	86	A	A	A	A	1.0	Joseph Zaza	1022	9.2%	0.6%	0.0%	29.8%	20.4%	0.5%	3.61	3.41
22K555	Brooklyn College Academy	High School	75.5	A	80	A	B	A	A	1.1	Nicholas Mazzarella	570	3.3%	0.0%	1.2%	54.3%	90.2%	0.0%	3.32	3.24
23K493	Brooklyn Collegiate: A College Board School	High School	54.0	C	21	C	B	D	B	2.5	Amote Sias/Zipora Steiner	374	19.0%	10.7%	7.0%	75.9%	97.1%	1.3%	2.61	1.95
23K514	Frederick Douglass Academy VII High School	High School	53.1	C	19	D	B	C	B	4.0	Jessica Endlich	365	24.1%	11.0%	9.6%	45.8%	98.9%	1.4%	2.64	1.84
23K644	Eagle Academy for Young Men II	High School	.	.	.	.	.	.	.	.	Rashad Meade	83	34.9%	13.3%	3.6%	70.8%	100.0%	4.8%	2.76	1.76
23K697	Teachers Preparatory High School	High School	66.3	B	54	B	A	C	B	2.1	Carmen Simon	422	18.2%	9.7%	8.1%	43.5%	97.4%	2.1%	2.70	2.06
24Q264	Academy of Finance and Enterprise	High School	87.5	A	96	A	A	B	A	7.3	Gilberto Vega	420	11.2%	1.7%	4.0%	62.6%	66.2%	7.9%	3.04	2.74
24Q267	High School of Applied Communication	High School	78.0	A	85	A	A	B	B	5.6	Daniel Korb	388	19.1%	2.6%	6.2%	65.5%	70.1%	10.3%	2.71	2.21
24Q293	Civic Leadership Academy	High School	87.1	A	96	A	A	A	A	5.6	Phuong Nguyen	449	21.4%	5.1%	5.1%	69.0%	88.4%	9.1%	2.69	2.11
24Q296	Pan American International High School	High School	46.4	D	8	C	F	B	F	5.2	Marcella Barros	366	1.6%	0.8%	12.8%	82.8%	100.0%	91.8%	2.25	2.07
24Q299	Bard High School Early College Queens	High School	74.8	A	79	A	A	B	A	0.0	Valeri Thomson	631	1.0%	0.0%	1.4%	35.2%	37.4%	0.3%	3.77	3.74
24Q455	Newtown High School	High School	60.1	B	38	C	C	B	B	6.8	John Ficalora	2571	12.8%	5.9%	17.2%	58.0%	69.9%	31.9%	2.62	2.07
24Q485	Grover Cleveland High School	High School	60.0	B	38	B	F	A	C	3.9	Denise Vittor	2069	15.3%	7.4%	9.6%	61.7%	67.9%	22.5%	2.68	2.13
24Q520	Middle College High School at LaGuardia Community College	High School	58.3	B	30	D	B	B	B	5.9	Linda Siegmund	497	15.5%	1.2%	5.2%	59.8%	80.9%	0.2%	2.72	2.33
24Q530	International High School at LaGuardia Community College	High School	90.7	A	98	A	B	A	A	8.7	John Starkey	493	0.4%	0.0%	16.6%	79.5%	46.2%	76.7%	2.58	2.40
24Q550	High School for Arts and Business	High School	78.2	A	86	A	A	A	C	5.6	Ana R. Zambrano-Burakov	828	14.1%	2.8%	3.3%	41.9%	87.6%	13.3%	2.77	2.40
24Q560	"Robert F. Wagner, Jr. Secondary School for Arts and Technology"	High School	56.9	C	26	C	D	B	C	1.9	Ann Seifullah	491	16.5%	1.4%	2.0%	60.2%	73.7%	4.9%	2.98	2.60
24Q585	Maspeth High School	High School	.	.	.	.	.	.	.	.	Khurshid Abdul-Mutakabbir	248	10.1%	3.6%	2.0%	52.0%	50.8%	5.2%	3.04	2.75
24Q600	Queens Vocational and Technical High School	High School	67.0	B	57	C	B	B	B	5.1	Melissa Burg	1368	17.5%	5.2%	3.8%	74.7%	81.1%	6.4%	2.96	2.46
24Q610	Aviation Career & Technical Education High School	High School	76.4	A	82	A	A	A	A	2.9	Deno Charalambous	2201	7.2%	2.7%	1.6%	27.9%	62.2%	3.2%	3.18	2.97
25Q252	"Queens School of Inquiry, The"	High School	59.2	B	33	D	B	B	A	3.6	Meredith Inbal	309	11.3%	0.3%	2.3%	43.8%	43.0%	2.3%	3.24	2.99
25Q263	Flushing International High School	High School	65.5	B	51	B	F	A	D	7.2	Lara Evangelista	422	1.7%	0.2%	19.4%	80.1%	33.9%	89.3%	2.61	2.38
25Q281	East-West School of International Studies	High School	68.7	B	62	B	A	C	B	4.9	Ben Sherman	361	14.4%	1.4%	5.8%	66.7%	39.3%	16.3%	3.13	2.75
25Q285	World Journalism Preparatory: A College Board School	High School	76.7	A	83	A	A	A	B	1.6	Cynthia Schneider	342	20.5%	0.9%	2.0%	34.6%	32.5%	0.3%	3.11	2.66
25Q425	John Bowne High School	High School	53.4	C	19	C	D	F	C	5.9	Howard Kwait	3659	12.5%	5.8%	11.0%	70.8%	59.9%	26.1%	2.84	2.36
25Q460	Flushing High School	High School	45.3	D	7	F	F	D	C	5.4	"Carl D. Hudson, Jr."	3113	13.7%	5.8%	8.7%	67.0%	76.2%	20.5%	2.73	2.26
25Q525	Townsend Harris High School	High School	83.3	A	94	A	A	A	A	0.0	Kenneth Bonamo	1140	0.5%	0.0%	0.2%	32.3%	18.9%	0.0%	4.01	4.00
25Q670	Robert F. Kennedy Community High School	High School	67.9	B	60	B	B	A	A	2.1	Beshir Abdellatif	721	22.2%	2.9%	4.3%	62.3%	46.9%	7.5%	2.92	2.38
26Q415	Benjamin N. Cardozo High School	High School	62.6	B	43	C	B	C	A	2.9	Gerald Martori	3912	14.3%	6.1%	2.8%	39.3%	37.0%	6.2%	3.26	2.82
26Q430	Francis Lewis High School	High School	76.7	A	83	B	A	A	A	4.2	Musa Ali Shama	4152	14.2%	8.4%	4.6%	56.7%	32.4%	13.2%	3.24	2.74
26Q435	Martin Van Buren High School	High School	47.6	C	10	C	D	F	C	3.2	Marilyn Shevell	2390	14.6%	7.5%	10.9%	47.2%	71.4%	10.3%	2.61	2.06
26Q495	Bayside High School	High School	74.9	A	79	B	A	B	A	4.2	Michael Athy	3308	13.5%	5.6%	2.6%	53.9%	35.0%	5.8%	3.24	2.83
26Q566	"Queens High School of Teaching, Liberal Arts and the Sciences"	High School	65.3	B	50	C	A	C	B	3.5	Jae Hyun Cho	1195	19.2%	4.6%	2.3%	43.9%	63.0%	2.7%	2.97	2.47
27Q260	Frederick Douglass Academy VI High School	High School	47.1	C	9	F	B	F	A	6.0	Linda Alfred	444	17.1%	7.2%	7.7%	70.5%	93.9%	4.3%	2.66	2.10
27Q262	Channel View School for Research	High School	82.9	A	94	A	A	A	B	4.0	Patricia J. Tubridy	409	15.6%	5.4%	3.9%	59.4%	80.4%	1.5%	2.96	2.50
27Q302	"Queens High School for Information, Research, and Technology"	High School	54.0	C	21	C	A	F	C	3.7	Edward Shepard	310	18.4%	10.6%	15.8%	73.5%	90.6%	10.6%	2.61	1.87
27Q308	Robert H. Goddard High School of Communication Arts and Technology	High School	71.9	A	72	B	A	B	C	4.0	Joseph Birgeles	578	18.0%	9.5%	3.1%	67.1%	50.3%	3.6%	2.97	2.38
27Q309	Academy of Medical Technology: A College Board School	High School	59.7	B	36	C	A	C	C	3.8	Jose Merced	335	15.5%	7.2%	7.8%	70.6%	87.8%	9.6%	2.72	2.19
27Q323	Scholars' Academy	High School	80.6	A	90	A	A	A	A	0.0	Brian O'connell	420	0.7%	0.0%	0.2%	37.9%	36.7%	0.0%	3.69	3.67
27Q324	ROCKAWAY PARK HIGH SCHOOL FOR ENVIRONMENTAL SUSTAINABILITY	High School	.	.	.	.	.	.	.	.	Matthew Katz	203	20.2%	11.3%	16.7%	62.1%	78.8%	7.9%	2.65	1.85
27Q351	Rockaway Collegiate High School	High School	.	.	.	.	.	.	.	.	Robert Young Jr	98	26.5%	15.3%	9.2%	76.5%	85.7%	9.2%	2.65	1.72
27Q400	August Martin High School	High School	41.7	D	4	F	F	B	D	3.1	Anthony Cromer	1029	22.6%	12.1%	16.4%	65.8%	91.5%	4.3%	2.53	1.67
27Q410	Beach Channel High School	High School	.	.	.	.	.	.	.	.	David Morris	684	24.4%	12.4%	14.3%	45.3%	91.7%	12.4%	2.43	1.55
27Q475	Richmond Hill High School	High School	48.2	C	11	C	F	F	C	3.4	Ms. Frances Desanctis	2585	16.4%	7.0%	8.7%	66.1%	63.2%	17.6%	2.66	2.10
27Q480	John Adams High School	High School	47.5	C	10	D	F	D	C	4.0	Grace Zwillenberg	3384	14.7%	6.7%	14.1%	76.7%	64.8%	16.8%	2.61	2.04
27Q650	"High School for Construction Trades, Engineering and Architecture"	High School	65.7	B	52	B	B	C	C	0.7	Lakeisha Gordon	924	7.6%	0.1%	1.9%	60.9%	52.8%	0.4%	3.27	3.09
28Q157	J.H.S. 157 Stephen A. Halsey	High School	.	.	.	.	.	.	.	.	Vincent Suraci	88	42.0%	33.0%	25.0%	49.1%	52.3%	36.4%	2.67	0.92
28Q284	York Early College Academy	High School	.	.	.	.	.	.	.	.	Deborah Burnett	235	6.8%	1.3%	1.7%	58.3%	82.6%	0.0%	3.20	3.03
28Q310	Queens Collegiate: A College Board School	High School	74.6	A	78	A	A	B	A	4.7	Jaime Anne Dubei	381	15.2%	4.2%	7.1%	66.2%	64.3%	11.0%	2.83	2.37
28Q325	HILLSIDE ARTS & LETTERS ACADEMY	High School	.	.	.	.	.	.	.	.	Matthew C. Ritter	200	13.0%	4.0%	11.0%	72.0%	62.5%	12.5%	2.75	2.30
28Q328	HIGH SCHOOL FOR COMMUNITY LEADERSHIP	High School	.	.	.	.	.	.	.	.	Carlos Borrero	177	15.3%	4.0%	14.7%	76.8%	72.9%	27.7%	2.70	2.16
28Q350	Jamaica Gateway to the Sciences	High School	71.5	A	71	B	A	B	A	0.3	Caren Birchwood Taylo	224	8.0%	2.7%	5.4%	64.3%	51.8%	4.5%	3.10	2.83
28Q440	Forest Hills High School	High School	70.8	A	68	B	B	B	A	3.9	Saul Gootnick	3834	14.9%	6.3%	3.3%	47.8%	38.8%	9.1%	3.14	2.68
28Q470	Jamaica High School	High School	.	.	.	.	.	.	.	.	Walter Acham	564	15.8%	8.2%	22.5%	62.2%	67.6%	31.0%	2.41	1.70
28Q505	Hillcrest High School	High School	67.4	B	58	B	C	A	B	5.7	Stephen Duch	3103	12.0%	5.2%	9.2%	72.3%	59.8%	15.7%	2.75	2.32
28Q620	Thomas A. Edison Career and Technical Education High School	High School	71.9	A	72	B	A	B	A	2.3	Anthony D. Barbetta	2252	13.7%	6.8%	3.3%	60.5%	44.8%	1.5%	3.18	2.73
28Q680	Queens Gateway to Health Sciences Secondary School	High School	68.2	B	61	A	B	C	A	0.0	Dr. Cynthia Edwards	486	0.8%	0.0%	0.4%	53.9%	66.3%	0.0%	3.49	3.47
28Q686	QUEENS METROPOLITAN HIGH SCHOOL	High School	.	.	.	.	.	.	.	.	Marci Levy Maguire	663	20.1%	4.7%	2.7%	39.7%	43.9%	3.8%	3.00	2.47
28Q687	Queens High School for the Sciences at York College	High School	78.8	A	87	A	A	B	A	0.0	David Marmor	418	2.2%	0.0%	0.2%	40.0%	18.4%	0.2%	3.88	3.83
28Q690	High School for Law Enforcement and Public Safety	High School	62.6	B	43	C	B	B	C	2.2	Diahann E. Malcolm	536	19.6%	11.9%	5.2%	61.6%	88.6%	2.2%	2.79	2.10
28Q896	"Young Women's Leadership School, Queens"	High School	65.1	B	49	B	A	F	A	0.8	Avionne Gumbs	277	10.5%	2.5%	1.1%	62.2%	81.9%	3.2%	2.96	2.69
29Q248	Queens Preparatory Academy	High School	58.8	B	32	B	C	C	C	4.5	Tashon Haywood	441	13.8%	3.6%	12.0%	63.0%	92.5%	5.2%	2.67	2.20
29Q259	Pathways College Preparatory School: A College Board School	High School	53.6	C	20	C	B	F	C	2.9	Kimberly Mitchell	310	14.8%	5.2%	4.8%	59.5%	95.2%	2.6%	2.68	2.23
29Q265	Excelsior Preparatory High School	High School	75.3	A	80	B	A	B	A	7.4	Lilly Lucas	443	17.6%	4.7%	10.2%	60.0%	93.9%	2.3%	2.64	2.10
29Q272	George Washington Carver High School for the Sciences	High School	56.6	C	25	C	B	C	D	2.0	Dr. Janice M. Sutton	474	11.0%	3.6%	6.5%	61.2%	88.4%	1.9%	2.84	2.49
29Q283	Preparatory Academy for Writers: A College Board School	High School	72.1	A	73	A	B	A	C	3.3	Charles Anderson	271	16.6%	5.2%	9.6%	62.6%	94.1%	3.0%	2.71	2.18
29Q326	CAMBRIA HEIGHTS ACADEMY	High School	.	.	.	.	.	.	.	.	Melissa Menake	147	19.0%	5.4%	5.4%	56.5%	94.6%	2.0%	2.73	2.18
29Q492	"Mathematics, Science Research and Technology Magnet High School"	High School	57.1	C	27	C	B	D	B	2.6	Jose Cruz	412	11.7%	7.8%	9.5%	58.3%	91.5%	5.1%	2.78	2.30
29Q494	"Law, Government and Community Service High School"	High School	45.1	D	7	F	D	C	C	4.1	Donna Delfyett White	454	17.6%	10.8%	13.2%	55.9%	94.5%	2.9%	2.56	1.86
29Q496	"Business, Computer Applications & Entrepreneurship High School"	High School	44.5	D	6	F	D	B	B	2.7	Herman Guy	353	24.4%	11.3%	17.0%	49.9%	90.9%	6.5%	2.44	1.56
29Q498	Humanities & Arts Magnet High School	High School	60.9	B	40	C	A	B	D	3.5	Rosemarie Omard	480	17.9%	5.6%	8.1%	61.9%	94.4%	3.8%	2.66	2.11
30Q286	"Young Women's Leadership School, Astoria"	High School	.	.	.	.	.	.	.	.	Laura A Mitchell	237	5.9%	0.0%	1.3%	68.7%	44.3%	6.3%	3.20	3.07
30Q301	Academy for Careers in Television and Film	High School	96.6	A	100	A	A	A	A	6.0	Mark Dunetz	419	17.4%	4.1%	2.4%	57.8%	74.2%	2.9%	2.83	2.37
30Q445	William Cullen Bryant High School	High School	54.8	C	23	C	D	C	B	4.5	Namita Dwarka	2945	13.7%	8.7%	9.6%	59.2%	56.2%	18.1%	2.82	2.27
30Q450	Long Island City High School	High School	48.1	C	11	C	F	F	C	3.0	Maria Mamo Vacacela	3386	16.1%	7.3%	8.4%	65.6%	74.1%	13.9%	2.79	2.24
30Q501	Frank Sinatra School of the Arts High School	High School	71.8	A	72	B	A	B	A	0.2	Donna Finn	756	3.8%	0.0%	0.1%	21.7%	44.3%	0.1%	3.49	3.41
30Q502	Information Technology High School	High School	57.3	C	28	D	B	C	B	4.3	Nancy Casella	916	19.7%	6.6%	4.5%	73.1%	74.7%	9.6%	2.82	2.25
30Q555	Newcomers High School	High School	79.5	A	88	B	A	A	B	9.2	Orlando Sarmiento	932	0.0%	0.1%	41.0%	80.8%	49.0%	93.5%	2.66	2.25
30Q575	Academy of American Studies	High School	70.7	A	68	B	B	B	A	2.2	William Bassell	704	10.8%	2.0%	2.3%	55.3%	41.5%	5.7%	3.21	2.93
30Q580	Baccalaureate School for Global Education	High School	71.9	A	72	A	B	B	A	0.0	Kelly Joan Johnson	259	0.8%	0.0%	0.4%	31.1%	32.4%	0.0%	3.64	3.62
31R047	CSI High School for International Studies	High School	80.3	A	90	A	A	A	B	2.4	Joseph Canale	532	16.7%	3.8%	1.1%	31.6%	29.9%	0.2%	3.04	2.62
31R064	Gaynor McCown Expeditionary Learning School	High School	74.0	A	76	A	A	B	D	4.5	Traci Frey	408	27.2%	5.9%	2.5%	36.8%	33.6%	1.0%	2.83	2.15
31R080	The Michael J. Petrides School	High School	71.3	A	70	B	A	B	A	3.6	Joanne Buckheit	510	22.7%	9.8%	1.6%	35.1%	34.9%	1.4%	3.01	2.34
31R440	New Dorp High School	High School	67.7	B	59	C	B	B	A	4.6	Ms. Deirdre Deangelis	2657	21.5%	9.1%	5.2%	47.9%	39.4%	6.2%	2.76	2.10
31R445	Port Richmond High School	High School	59.0	B	32	C	C	B	A	4.6	Timothy M. Gannon	2151	24.6%	10.9%	7.3%	55.3%	68.8%	6.1%	2.63	1.84
31R450	Curtis High School	High School	67.7	B	60	C	B	C	A	5.6	Aurelia Curtis	2552	18.9%	10.5%	7.4%	61.5%	70.3%	6.5%	2.71	2.05
31R455	Tottenville High School	High School	65.3	B	50	C	B	B	A	2.2	John P. Tuminaro	3875	17.1%	5.4%	1.0%	20.3%	12.2%	1.4%	3.11	2.65
31R460	Susan E. Wagner High School	High School	77.9	A	85	A	A	B	A	4.2	Mr. Gary M. Giordano	3242	21.6%	12.3%	4.6%	45.1%	35.7%	3.9%	2.97	2.25
31R600	Ralph R. McKee Career and Technical Education High School	High School	68.7	B	63	B	B	C	A	6.6	Sharon Alicia Henry	675	29.5%	12.1%	7.1%	58.8%	73.5%	3.7%	2.57	1.67
31R605	Staten Island Technical High School	High School	87.1	A	96	A	A	A	A	0.0	Vincent Maniscalco	1104	1.3%	0.0%	0.1%	19.2%	6.4%	0.1%	3.90	3.88
32K168	The Brooklyn School for Math and Research	High School	.	.	.	.	.	.	.	.	Perry Rainey	43	9.3%	2.3%	11.6%	81.4%	88.4%	11.6%	2.76	2.41
32K403	Academy for Environmental Leadership	High School	80.2	A	89	A	B	C	C	7.7	Nilda Gomez-Katz	362	19.6%	12.2%	16.0%	62.4%	98.1%	34.3%	2.42	1.62
32K545	EBC High School for Public Service - Bushwick	High School	69.3	B	64	A	C	B	C	3.8	Shawn Brown	606	14.0%	7.1%	5.4%	90.8%	97.4%	17.2%	2.56	2.09
32K549	Bushwick School for Social Justice	High School	58.3	B	31	C	B	B	D	5.1	Mark Rush	434	19.6%	10.4%	12.0%	63.6%	97.0%	18.7%	2.43	1.71
32K552	Academy of Urban Planning	High School	50.4	C	14	D	B	F	D	6.5	Rodney Orji	398	23.4%	16.6%	19.6%	81.9%	97.0%	24.6%	2.40	1.40
32K554	All City Leadership Secondary School	High School	78.5	A	86	A	A	A	A	1.3	Elvis Estevez	140	11.4%	4.3%	1.4%	81.4%	97.9%	4.3%	3.01	2.68
32K556	Bushwick Leaders High School for Academic Excellence	High School	48.4	C	12	C	F	C	F	4.6	Catherine Reilly	462	21.0%	12.8%	9.5%	91.6%	99.1%	18.6%	2.48	1.70
84K359	The Uft Charter School	High School	.	.	.	.	.	.	.	.	Michelle Bodden-White	171	8.2%	2.3%	5.8%	73.7%	96.5%	0.6%	2.71	2.45
84K473	Williamsburg Charter High School	High School	66.5	B	55	B	B	B	C	4.4	Marsha Spampinato	1022	16.3%	5.4%	9.7%	71.7%	96.2%	4.0%	2.75	2.22
84K693	Believe Northside Charter High School	High School	.	.	.	.	.	.	.	.	Reshma Baig	273	18.7%	6.6%	8.8%	71.4%	91.6%	5.9%	2.73	2.14
84K694	Believe Southside Charter High School	High School	.	.	.	.	.	.	.	.	Shannon Browne	256	16.0%	4.7%	52.7%	73.0%	95.7%	5.5%	2.68	1.74
84K888	Achievement First HS	High School	.	.	.	.	.	.	.	.	.	192	10.9%	0.5%	4.2%	71.1%	99.0%	0.0%	3.13	2.86
84K999	Uncommon Charter HS	High School	.	.	.	.	.	.	.	.	.	147	6.8%	0.7%	3.4%	56.8%	99.3%	0.0%	3.56	3.38
84M279	The Opportunity Charter School	High School	.	.	.	.	.	.	.	.	Marya Baker	226	52.2%	19.0%	18.6%	67.2%	99.1%	4.0%	2.27	0.66
84M284	Harlem Children's Zone/Promise Academy Charter School	High School	92.7	A	99	A	A	B	A	3.1	Tonya White/Shakira Petit	129	19.4%	0.8%	7.8%	78.8%	98.4%	0.0%	2.97	2.49
84M350	Democracy Preparatory Charter School	High School	.	.	.	.	.	.	.	.	Lisa Friscia/William Cooke	248	8.9%	0.8%	6.5%	67.7%	100.0%	0.4%	3.15	2.90
84M353	New Heights Academy Charter School	High School	71.0	A	69	A	A	B	D	4.2	Robert Parkes/Leslie Ford	387	17.6%	1.8%	7.5%	86.6%	99.7%	15.0%	2.72	2.26
84M433	The Renaissance Charter High School for Innovation	High School	.	.	.	.	.	.	.	.	Nicholas Tishuk	240	37.1%	21.3%	12.1%	75.0%	96.7%	6.3%	2.49	1.20
84M522	Broome Street Academy Charter High School	High School	.	.	.	.	.	.	.	.	Jeremy Kaplan	120	40.8%	30.0%	40.0%	72.5%	92.5%	6.7%	2.42	0.61
84M888	Harlem Village Academy HS	High School	53.9	C	21	C	D	A	A	0.0	.	201	9.5%	0.0%	6.0%	63.5%	97.0%	1.0%	3.46	3.21
84M999	KIPP NYC College Prep	High School	.	.	.	.	.	.	.	.	.	503	15.7%	0.8%	6.8%	77.1%	99.0%	1.6%	3.20	2.80
84Q705	"Renaissance Charter School, The"	High School	68.8	B	63	B	A	B	A	2.0	Stacey Gauthier	210	17.6%	1.9%	3.3%	47.1%	71.4%	3.3%	3.01	2.59
84X185	The Bronx Lighthouse Charter School	High School	.	.	.	.	.	.	.	.	Meghan Kimpton (K-4)/Richard Burke (5-8)	47	14.9%	2.1%	2.1%	77.4%	100.0%	2.1%	2.86	2.50
84X345	Hyde Leadership Charter School	High School	.	.	.	.	.	.	.	.	Betsy Olney	211	19.0%	0.9%	7.1%	78.2%	99.1%	3.8%	2.79	2.32
84X347	International Leadership Charter School	High School	92.7	A	99	A	A	B	B	8.1	Elaine Ruiz Lopez	301	10.6%	1.7%	3.0%	85.4%	97.0%	8.6%	2.81	2.54
84X393	Green Dot NY Charter School	High School	91.2	A	98	A	A	A	C	7.7	Ashish Kapadia	380	13.7%	1.3%	5.8%	81.3%	96.8%	9.5%	2.77	2.41
84X395	"NYC CHARTER HIGH SCHOOL FOR ARCHITECTURE, ENGINEERING AND CONSTRUCTION INDUSTRIES"	High School	59.5	B	34	B	C	C	F	3.8	Eugene Foley	398	13.8%	3.5%	13.1%	90.2%	99.7%	13.3%	2.63	2.16
84X539	The New Visions Charter High School for Advanced Math and Science	High School	.	.	.	.	.	.	.	.	Julia Chun	123	17.9%	8.9%	3.3%	72.4%	98.4%	8.9%	2.85	2.28
84X553	The New Visions Charter High School for the Humanities	High School	.	.	.	.	.	.	.	.	Seth Ari Lewis Levin	127	22.8%	11.0%	3.9%	80.3%	92.9%	18.1%	2.70	1.98
84X703	Bronx Prep Charter School	High School	43.2	D	5	F	D	B	F	2.4	Jacqueline King-Robinson	328	8.2%	0.0%	4.3%	62.7%	98.2%	3.4%	2.99	2.79
11X249	Bronx Health Sciences High School	High School	74.3	A	77	B	A	B	B	7.2	Miriam Rivas	377	8.0%	4.8%	10.1%	77.7%	93.1%	6.1%	2.73	2.37
